CityMunRes,CityMunCoord
MAMASAPANO,"6.8926767, 124.500925"
GENERAL MACARTHUR,"11.2453437, 125.5397546"
CABUSAO,"13.7273308, 123.1126991"
LLORENTE,"11.4123071, 125.5455987"
BUMBARAN,"7.7854607, 124.6821593"
TARRAGONA,"7.0497523, 126.4489837"
ARTECHE,"12.2695499, 125.371313"
LAS NAVAS,"12.3381782, 125.0310474"
LIMASAWA,"9.9251181, 125.0740924"
GITAGUM,"8.5944139, 124.4057538"
MARIHATAG,"8.8005575, 126.2985386"
TADIAN,"16.9956909, 120.8217222"
TAFT,"11.9049131, 125.4164158"
PANGANIBAN (PAYO),"13.9081674, 124.30082"
GIPORLOS,"11.1210881, 125.4489009"
KATIPUNAN,"8.5124998, 123.2846423"
CAWAYAN,"11.9283971, 123.7692131"
INITAO,"8.4975425, 124.3056107"
TUGAYA,"7.883728, 124.17801"
CULABA,"11.6555955, 124.540621"
SAN JUAN (LAPOG),"7.7431, 120.4583"
MARCOS,"18.0434949, 120.6783103"
LUMBAYANAGUE,"7.7830764, 124.2814217"
DIMASALANG,"12.1931384, 123.8586018"
DAMULOG,"7.4871764, 124.9465238"
CATUBIG,"12.407868, 125.0544364"
VILLAVERDE,"16.6050644, 121.1836015"
QUINAPONDAN,"11.1577552, 125.5212969"
SANTA MAGDALENA,"12.6463261, 124.1079114"
TUBO,"17.2582154, 120.7248438"
KASIBU,"16.3177797, 121.2941105"
SAGADA,"17.0852054, 120.8989806"
TAYUM,"17.6180712, 120.6535488"
JOSE PANGANIBAN,"14.2903434, 122.691494"
BAYOG,"7.8498431, 123.0430506"
LINAPACAN,"11.4911664, 119.8680499"
KUMALARANG,"7.747914, 123.1439281"
ABULUG,"18.4434854, 121.4572732"
SIASI,"5.5451683, 120.8151131"
LAGANGILANG,"17.6126919, 120.7336564"
CASTILLA,"12.9539515, 123.8751711"
CERVANTES,"16.989946, 120.7354563"
SAN JULIAN,"11.7549638, 125.455276"
ORAS,"12.1410311, 125.4408359"
SANTO NIÑO (FAIRE),"17.8820299, 121.5704472578084"
BALANGIGA,"11.1074484, 125.387454"
TUBAJON,"10.3200557, 125.5589422"
SANTOL,"16.7721697, 120.4600563"
MARIA AURORA,"15.7982599, 121.4723121"
BALBALAN,"17.4414357, 121.2016265"
GUINSILIBAN,"9.0965036, 124.7848761"
TONGKIL,"6.0710519, 121.7848726"
MAGARAO,"13.6607081, 123.1851888"
HERNANI,"11.3232473, 125.6190691"
NABAS,"11.828728, 122.0924043"
SAN GUILLERMO,"16.7209774, 121.8094689"
DASOL,"15.9902346, 119.8811438"
SCIENCE CITY OF MUÑOZ,"15.7135413, 120.9039451"
PARACALE,"14.2793266, 122.7868453"
MAGSAYSAY (LINUGOS),"8.9622, 125.2039"
MARABUT,"11.1075864, 125.2125372"
PALANAS,"12.1459982, 123.9222245"
HINUNDAYAN,"10.3513466, 125.2529731"
DINGALAN,"15.3894081, 121.3927168"
CARRANGLAN,"15.9606628, 121.0638705"
AGUTAYA,"11.1511823, 120.9394557"
SIMUNUL,"4.8980374, 119.8218352"
JOVELLAR,"13.0693487, 123.6002707"
MAYDOLONG,"11.5010171, 125.5016828"
BOMBON,"13.6858046, 123.1989068"
MABUHAY,"14.617587460434086, 121.00173710261697"
PASIL,"17.3890052, 121.1581968"
PANUKULAN,"14.9337995, 121.815067"
BARCELONA,"12.8682088, 124.1418908"
GARCHITORENA,"13.8818495, 123.6977233"
HINABANGAN,"11.7015287, 125.0657794"
DILASAG,"16.393824, 122.2114756"
BAGABAG,"16.6055376, 121.2533079"
ALILEM,"16.8859992, 120.5306897"
MACARTHUR,"10.8354762, 124.9958814"
SIRAWAI,"7.5852175, 122.140523"
MAMBAJAO (CAPITAL),"9.2322, 124.7078"
DIADI,"16.6606225, 121.3693297"
BUGUEY,"18.2882302, 121.832126"
BATAN,"11.5869107, 122.4962482"
ITBAYAT,"20.7878139, 121.8414735"
SAN ANDRES (CALOLBON),"13.59921125, 124.09993481360756"
CITY OF EL SALVADOR,"8.5618, 124.5246"
MARIA,"9.1962369, 123.6551893"
PEÑARRUBIA,"17.5638344, 120.652673"
SALCEDO,"17.1510694, 120.536337"
SAPI-AN,"11.497103599999999, 122.5441645463356"
JUBAN,"12.8478899, 123.9890815"
BAUKO,"16.9902652, 120.865329"
CALANASAN (BAYAG),"18.2551106, 121.0434944"
QUIRINO (ANGKAKI),"17.1031, 120.6890"
JOMALIG,"14.6958792, 122.3306656"
LUBUAGAN,"17.3527589, 121.1758075"
NAGTIPUNAN,"16.2177804, 121.6053532"
RAPU-RAPU,"13.1856583, 124.1267772"
SARRAT,"18.1568444, 120.6443463"
CABUGAO,"17.7944818, 120.4549514"
KALINGALAN CALUANG,"5.8890311, 121.30945"
MAPUN (CAGAYAN DE TAWI-TAWI),"7.0081659, 118.47336833159272"
GEN. S.K. PENDATUN,"6.11306415, 125.1705428139781"
LAGAYAN,"17.720616, 120.7059814"
BULUSAN,"12.7517375, 124.1352434"
AGLIPAY,"16.4907744, 121.585819"
MAROGONG,"7.6754959, 124.153302"
MONREAL,"12.6441423, 123.6637788"
PIO DURAN,"13.0296985, 123.4431423"
PALAPAG,"12.5455937, 125.1149936"
SANTA MONICA (SAPAO),"10.0192, 126.0387"
LIBJO (ALBOR),"10.19436735, 125.53032660934093"
KAYAPA,"16.3580559, 120.8871609"
SOMINOT (DON MARIANO MARCOS),"8.02643528602555, 123.41133789074698"
GALIMUYOD,"17.183128, 120.4692241"
CABARROGUIS (CAPITAL),"16.4199, 121.5142"
MONDRAGON,"12.5161482, 124.7526387"
SULAT,"11.8152123, 125.4530073"
MACONACON,"17.3871286, 122.2379036"
SANTA MARIA (IMELDA),"12.3940106, 122.0944559"
SAGAY,"10.8960681, 123.4154617"
BOBON,"12.5257804, 124.5641977"
PRES. CARLOS P. GARCIA (PITOGO),"10.121, 124.553"
NATONIN,"17.1074577, 121.2747091"
DIFFUN,"16.5935291, 121.5024247"
CORELLA,"9.6876964, 123.921306"
IMPASUG-ONG,"8.3060497, 124.9975379"
PALIMBANG,"6.2102983, 124.1883549"
SAN POLICARPO,"12.1797056, 125.5072461"
VIGA,"13.8715307, 124.3087305"
BOLINEY,"17.3790583, 120.8198364"
BAROBO,"8.5365118, 126.1206907"
DATU ABDULLAH SANGKI,"6.7666556, 124.481723"
SHARIFF SAYDONA MUSTAPHA,"6.8816312, 124.4843998"
CALANOGAS,"7.7335431, 124.07895"
KALILANGAN,"7.7465169, 124.7476141"
BARLIG,"17.0409263, 121.0997536"
TAMPILISAN,"7.9759459, 122.6638655"
CURRIMAO,"18.0194482, 120.4868281"
PRESIDENT QUIRINO,"6.7002854, 124.7381005"
AGUINALDO,"14.1843333, 120.7964033"
GENERAL NAKAR,"14.7636785, 121.6352959"
BACUNGAN (LEON T. POSTIGO),"8.13936325, 122.86568505"
PANGUTARAN,"6.3041267, 120.5718076"
AMPATUAN,"6.8321846, 124.4571005"
BACOLOD,"10.6762836, 122.9513786"
LAPINIG,"12.3172219, 125.3016342"
ALLACAPAN,"18.225865, 121.5560253"
PATNANUNGAN,"14.7537047, 122.2184319"
LEZO,"11.6671058, 122.3286614"
AMBAGUIO,"16.5331234, 121.0277675"
SUGBONGCOGON,"8.9562619, 124.7881272"
HUNGDUAN,"16.8377827, 121.0054468"
BANAYOYO,"17.2362842, 120.4797383"
TANGALAN,"11.7770629, 122.2601806"
TURTLE ISLANDS,"6.0731504, 118.3125904"
CAGWAIT,"8.9182742, 126.2982546"
SEN. NINOY AQUINO,"15.7290511, 120.6264442"
BAGULIN,"16.6062112, 120.4373211"
SINAIT,"17.8657434, 120.4571865"
SAGUDAY,"16.5400855, 121.5635618"
SULTAN SA BARONGIS (LAMBAYONG),"6.8826611, 124.6002051"
BASCO (CAPITAL),"14.587836906245846, 120.97558560138332"
NUEVA ERA,"17.9152782, 120.6644106"
PAGAYAWAN (TATARIKAN),"7.7488, 124.1198"
TALUSAN,"7.426643, 122.8088179"
CABANGLASAN,"8.0773336, 125.2987545"
SABTANG,"20.3347734, 121.8722738"
SABANGAN,"17.0035277, 120.9236583"
LANUZA,"9.233675, 126.0603779"
ROSELLER LIM,"7.6563848, 122.4631545"
PANDAG,"6.7411968, 124.7836552"
TINGLOY,"13.6619736, 120.8695102"
DIMATALING,"7.5284648, 123.3648382"
ASIPULO,"16.7222884, 121.0664555"
TARAKA,"7.8998799, 124.3339467"
MADAMBA,"7.8588264, 124.050705"
TALALORA,"11.5309574, 124.835473"
MATUGUINAO,"12.1443682, 124.885257"
LUMBACA-UNAYAN,"7.749628, 124.2059475"
CAGAYANCILLO,"9.577868, 121.1993551"
NAMPICUAN,"15.7321724, 120.6386089"
SAN LORENZO RUIZ (IMELDA),"14.1189, 122.8710"
MAIMBUNG,"5.9327986, 121.0247434"
LANGIDEN,"17.5761072, 120.563939"
KABAYAN,"16.623226, 120.8384772"
NORTHERN KABUNTALAN,"7.2019857, 124.4764312"
BURUANGA,"11.8444711, 121.8882356"
BALIGUIAN,"7.8097453, 122.1451356"
BALABAC,"7.9864527, 117.0647312"
MANGUDADATU,"6.6467834, 124.7859734"
DATU SALIBO,"6.9767315, 124.4823832"
LUUK,"5.9680048, 121.3135327"
LOOC,"12.2601878, 121.9916272"
BIRI,"12.6816045, 124.3618377"
ODIONGAN,"12.3997875, 121.9819686"
BANNA (ESPIRITU),"17.9799546, 120.6549681"
MASLOG,"12.1578533, 125.2471693"
SAN ESTEBAN,"17.3311208, 120.4445227"
LIDLIDDA,"17.2517706, 120.5210619"
SIGAY,"17.0425835, 120.5804799"
BALANGKAYAN,"11.4730301, 125.5107176"
DINALUNGAN,"16.1403381, 121.9575186"
PALANAN,"17.0628683, 122.4292704"
COLUMBIO,"6.6850678, 124.9614497"
SUGPON,"16.8444574, 120.516718"
DINAGAT,"9.9612337, 125.5918632"
SEBASTE,"11.5896899, 122.0958588"
JOSEFINA,"8.2148124, 123.5436197"
SAN TEODORO,"13.4365332, 121.0199119"
BASILISA (RIZAL),"10.1039, 125.5767"
CARASI,"18.1414459, 120.821757"
ADAMS,"18.4613108, 120.903571"
SAN BENITO,"9.9584758, 126.0060276"
DATU HOFFER AMPATUAN,"6.8580635, 124.4245711"
DIVILACAN,"17.3325917, 122.2996515"
TALITAY,"7.0352152, 124.3745009"
SOUTH UBIAN,"5.1873927, 120.4955419"
DINAPIGUE,"16.5258231, 122.2621516"
SAN EMILIO,"17.2382931, 120.5787045"
LICUAN-BAAY (LICUAN),"17.6090816, 120.9054377"
TAGAPUL-AN,"12.0478901, 124.1585829"
DAGUIOMAN,"17.458889, 120.9262943"
BINUANGAN,"8.921055, 124.7850158"
SADANGA,"17.1682043, 121.0264409"
GUTALAC,"7.9809872, 122.4052632"
MALIBCONG,"17.563315, 120.9890692"
LUGUS,"5.7020738, 120.8189755"
TAGOLOAN II,"8.0798345, 124.4157352"
SUYO,"16.983764, 120.5151368"
SIAYAN,"20.9056924, 121.9035459"
SAPA-SAPA,"5.0901662, 120.2733204"
NAGBUKEL,"17.4472774, 120.5260318"
DAGOHOY,"9.8963715, 124.2711696"
OMAR,"6.0084369, 121.3877453"
SULTAN DUMALONDONG,"7.75749, 124.2574747"
HADJI PANGLIMA TAHIL (MARUNGGAS),"6.1105436, 120.9665742"
UYUGAN,"20.3495326, 121.9380527"
LANGUYAN,"5.2675824, 120.0787785"
GREGORIO DEL PILAR (CONCEPCION),"17.1188, 120.6186"
FERROL,"12.3363938, 121.9394694"
IVANA,"20.3709221, 121.9145002"
BANTON,"12.9459465, 122.0960131"
PAGLAT,"6.7806618, 124.7850687"
TINEG,"17.7829065, 120.943593"
PANGLIMA ESTINO (NEW PANAMAO),"5.9564, 121.1825"
SERGIO OSMEÑA SR.,"8.2956667, 123.5082447"
DATU UNSAY,"6.8812524, 124.4355823"
PANDAMI,"5.541792, 120.8013302"
PATA,"5.8457184, 121.1445068"
JIPAPAD,"12.2699395, 125.20271571329901"
MAHATAO,"20.4164659, 121.948428"
COTABATO CITY <POBLACION>,"7.2566774372121925, 124.28606070526448"
TABUAN-LASA,"6.3192339, 121.9291468"
